Column1,properties,embedding
0,"Weights_for_beta-sheet_at_the_window_position_of_0_(Qian-Sejnowski,_1988)",-23.495632
1,"Weights_for_alpha-helix_at_the_window_position_of_2_(Qian-Sejnowski,_1988)",-23.479221
2,"Normalized_frequency_of_C-terminal_helix_(Chou-Fasman,_1979b)",-23.46864
3,"Weights_for_alpha-helix_at_the_window_position_of_3_(Qian-Sejnowski,_1988)",-23.46769
4,"Weights_for_beta-sheet_at_the_window_position_of_1_(Qian-Sejnowski,_1988)",-23.456024
5,"Weights_for_alpha-helix_at_the_window_position_of_0_(Qian-Sejnowski,_1988)",-23.451504
6,"Weights_for_alpha-helix_at_the_window_position_of_1_(Qian-Sejnowski,_1988)",-23.441078
7,"Weights_for_alpha-helix_at_the_window_position_of_4_(Qian-Sejnowski,_1988)",-23.41737
8,Monoisotopic mass (daltons),-19.743082
9,Average residue mass b (daltons),-19.690302
10,Residue Weight (-H2O),-19.686525
11,vander Waals volume (?3),-19.666563
12,"Side_chain_angle_theta(AAR)_(Levitt,_1976)",-19.63879
13,"Volume_(Grantham,_1974)",-19.60042
14,"Residue_volume_(Bigelow,_1967)",-19.555452
15,"Average_side_chain_orientation_angle_(Meirovitch_et_al.,_1980)",-19.544506
16,"Side_chain_volume_(Krigbaum-Komoriya,_1979)",-19.543676
17,"Composition_(Grantham,_1975)",-17.516342
18,"Residue_volume_(Goldsack-Chalifoux,_1974)",-17.498365
19,Average volumes of residues,-17.495182
20,Molecular Weight,-17.383282
21,"Residue_volume_(Goldsack-Chalifoux,_1973)",-17.36378
22,"Molecular_weight_(Fasman,_1976)",-17.362682
23,Accessible surface area(?2),-17.350264
24,"Mean_area_buried_on_transfer_(Rose_et_al.,_1985)",-17.350138
25,"Smoothed_upsilon_steric_parameter_(Fauchere_et_al.,_1989)",-17.318968
26,"Normalized_van_der_Waals_volume_(Fauchere_et_al.,_1989)",-17.313753
27,Vr (?3),-17.210146
28,"Average_volume_of_buried_residue_(Chothia,_1975)",-17.153578
29,"Accessible_surface_area_(Radzicka-Wolfenden,_1988)",-17.119396
30,"Residue_accessible_surface_area_in_tripeptide_(Chothia,_1976)",-17.038202
31,"Entropy_of_formation_(Hutchens,_1970)",-16.75136
32,"Side_chain_torsion_angle_phi(AAAR)_(Levitt,_1976)",-16.712309
33,¦Â-res,-16.637154
34,"Melting_point_(Fasman,_1976)",-16.602272
35,No. CCR (% binding),-16.53367
36,"Compositional frequency (Jungck,(1978))",-16.46095
37,Ribose.1,-16.406683
38,"Sequence_frequency_(Jungck,_1978)",-16.399508
39,Phosphate,-16.345453
40,¦Â.1,-16.096758
41,¦Á-¦µ-¦·,-16.070534
42,No. NCR (% binding),-16.055418
43,¦Á-Helix.1,-16.024296
44,¦Â-¦µ-¦·.1,-15.996498
45,BLP Score (rank).1,-15.906866
46,Propensity score,-15.8931675
47,BLP Score (rank),-15.862292
48,G,-13.37307
49,C,-13.350396
50,Phosphate.1,-13.296091
51,U,-13.27651
52,Ribose,-13.142217
53,Sa-ex,-13.067028
54,"Percentage_of_exposed_residues_(Janin_et_al.,_1978)",-13.045778
55,"Residue_accessible_surface_area_in_folded_protein_(Chothia,_1976)",-13.042914
56,"Average_accessible_surface_area_(Janin_et_al.,_1978)",-12.981317
57,"Relative_mutability_(Dayhoff_et_al.,_1978b)",-12.726202
58,In database (Number),-12.704905
59,"Relative_mutability_(Jones_et_al.,_1992)",-12.626231
60,Ss-c,-12.621663
61,"Normalized_relative_frequency_of_bend_R_(Isogai_et_al.,_1981)",-12.299807
62,"Absolute_entropy_(Hutchens,_1970)",-12.261193
63,"Heat_capacity_(Hutchens,_1970)",-12.184571
64,Sa-bu,-12.008623
65,"Percentage_of_buried_residues_(Janin_et_al.,_1978)",-12.002272
66,Percent buried residues(%),-11.784827
67,"Positive_charge_(Fauchere_et_al.,_1989)",-11.708431
68,"Zimm-Bragg_parameter_sigma_x_1.0E4_(Sueki_et_al.,_1984)",-11.344183
69,Ss-¦Á,-11.280419
70,"Refractivity_(McMeekin_et_al.,_1964),_Cited_by_Jones_(1975)",-11.225306
71,¦Á-bu,-11.21683
72,"Aperiodic_indices_for_alpha/beta-proteins_(Geisow-Roberts,_1981)",-11.210689
73,Buriability,-11.209116
74,Ss-¦Â,-11.207092
75,¦Â-bu,-11.158407
76,c-bu,-11.128048
77,Sa-pb,-11.11843
78,"The_Kerr-constant_increments_(Khanarian-Moore,_1980)",-11.046173
79,"Value_of_theta(i-1)_(Rackovsky-Scheraga,_1982)",-10.872758
80,No. CRS (% binding),-10.846552
81,"Value_of_theta(i)_(Rackovsky-Scheraga,_1982)",-10.754482
82,c-ex,-10.6195545
83,"alpha-CH_chemical_shifts_(Andersen_et_al.,_1993)",-10.609519
84,"Activation_Gibbs_energy_of_unfolding,_pH7.0_(Yutani_et_al.,_1987)",-10.603402
85,Bulkiness,-10.378279
86,"Membrane-buried_preference_parameters_(Argos_et_al.,_1983)",-10.359638
87,"Surrounding_hydrophobicity_in_beta-sheet_(Ponnuswamy_et_al.,_1980)",-10.307742
88,c-pb,-10.256599
89,"Average_surrounding_hydrophobicity_(Manavalan-Ponnuswamy,_1978)",-10.197483
90,"Surrounding_hydrophobicity_in_folded_form_(Ponnuswamy_et_al.,_1980)",-10.184318
91,"N.m.r._chemical_shift_of_alpha-carbon_(Fauchere_et_al.,_1988)",-10.170606
92,"Surrounding_hydrophobicity_in_turn_(Ponnuswamy_et_al.,_1980)",-10.163989
93,"Surrounding_hydrophobicity_in_alpha-helix_(Ponnuswamy_et_al.,_1980)",-10.143596
94,"The_number_of_atoms_in_the_side_chain_labelled_3+1_(Charton-Charton,_1984)",-10.128313
95,"Weights_for_coil_at_the_window_position_of_2_(Qian-Sejnowski,_1988)",-8.386372
96,"Residue_accessible_surface_area_in_folded_protein_(Chothia,_1977)",-8.338082
97,"Weights_for_coil_at_the_window_position_of_-1_(Qian-Sejnowski,_1988)",-8.337053
98,"Weights_for_coil_at_the_window_position_of_0_(Qian-Sejnowski,_1988)",-8.3311825
99,¦Á-Helix,-8.327593
100,"Weights_for_coil_at_the_window_position_of_3_(Qian-Sejnowski,_1988)",-8.304226
101,"Average_reduced_distance_for_C-alpha_(Rackovsky-Scheraga,_1977)",-8.291844
102,"Retention_coefficient_in_NaClO4_(Meek-Rossetti,_1981)",-7.3667364
103,RNA functional category-mRNA,-7.366
104,"Retention_coefficient_in_NaH2PO4_(Meek-Rossetti,_1981)",-7.3253083
105,mRNA binding  propensity,-7.321429
106,"Retention_coefficient_in_HPLC,_pH2.1_(Meek,_1980)",-7.32106
107,"Retention_coefficient_in_HPLC,_pH7.4_(Meek,_1980)",-7.3199863
108,"Retention_coefficient_in_TFA_(Browne_et_al.,_1982)",-7.300607
109,"Retention_coefficient_in_HFBA_(Browne_et_al.,_1982)",-7.2846355
110,"Normalized_frequency_of_alpha-helix_in_alpha+beta_class_(Palau_et_al.,_1981)",-6.418137
111,"Relative_frequency_in_alpha-helix_(Prabhakaran,_1990)",-6.399382
112,"Normalized_frequency_of_alpha-helix,_with_weights_(Levitt,_1978)",-6.388995
113,"Normalized_frequency_of_C-terminal_helix_(Chou-Fasman,_1978b)",-6.3411527
114,"Relative_preference_value_at_C2_(Richardson-Richardson,_1988)",-6.3392925
115,"Average_relative_fractional_occurrence_in_EL(i-1)_(Rackovsky-Scheraga,_1982)",-5.901559
116,"Helix_initiation_parameter_at_posision_i,i+1,i+2_(Finkelstein_et_al.,_1991)",-5.8627143
117,¦Â-res.1,-5.85382
118,"Normalized_frequency_of_alpha-helix_(Chou-Fasman,_1979b)",-5.837576
119,To Ar,-5.308652
120,"STERIMOL_minimum_width_of_the_side_chain_(Fauchere_et_al.,_1988)",-5.285703
121,"Helix_initiation_parameter_at_posision_i-1_(Finkelstein_et_al.,_1991)",-5.2855544
122,bu Ar,-5.2768497
123,pb Ar,-5.264287
124,ex ¦Ð,-5.2536235
125,"P2,3 (CO)",-5.2495604
126,"A_parameter_of_charge_transfer_donor_capability_(Charton-Charton,_1984)",-5.2389855
127,bu ¦µ,-5.2210417
128,"Radius_of_gyration_of_side_chain_(Levitt,_1976)",-5.2152677
129,"Helix_termination_parameter_at_posision_j-2,j-1,j_(Finkelstein_et_al.,_1991)",-5.0970526
